item,have
Absinthe,False
Advocaat,False
Allspice,False
Ameretto,True
Anise,False
Apple Brandy,False
Apple Juice,False
Apricot Brandy,False
Banana,False
Benedictine,False
Bitters,False
Blue Curacao,False
Bourbon,False
Brandy,False
Brown Sugar,False
Cachaca,False
Campari,False
Carbonated Water,False
Cardamom,False
Cayenne Pepper,False
Celery Salt,False
Chambord,False
Cherry,False
Cherry Brandy,False
Cinnamon,False
Cloves,False
Club Soda,False
Cocoa Powder,False
Coffee,False
Coffee Liqueur,False
Cola,False
Coriander,False
Cranberry Juice,False
Cream,False
Creme De Cacao,False
Creme De Cassis,False
Creme De Menthe,False
Creme De Mure,False
Dry Vermouth,False
Egg,True
Fruit,False
Galliano,False
Gin,True
Ginger,False
Ginger Ale,False
Ginger Beer,False
Grand Marnier,False
Grapefruit Juice,False
Green Chartreuse,False
Grenadine,False
Honey,False
Ice,True
Irish Cream Liqueur,False
Irish Whiskey,False
Lemon,False
Lemon Juice,False
Lemon Vodka,False
Lemonade,False
Light Rum,True
Lime,True
Lime Juice,False
Malibu,False
Maraschino Cherry,False
Milk,False
Mint,True
Nutmeg,False
Olive,False
Orange,False
Orange Bitters,False
Orange Juice,False
Passion Fruit,False
Peach Schnapps,False
Pepper,False
Pineapple,False
Pineapple Juice,False
Port,False
Powdered Sugar,False
Red Wine,False
Rum,True
Rye Whiskey,False
Salt,False
Sambucca,False
Sherry,False
Soda Water,True
Southern Comfort,False
Sparkling Wine,False
Spiced Rum,False
Strawberries,False
Sugar,True
Sugar Syrup,False
Sweet Vermouth,False
Tabasco,False
Tea,False
Tequila,False
Tomato Juice,False
Tonic Water,True
Triple Sec,False
Vanilla Extract,False
Vodka,True
Water,False
Whisky,False
White Rum,False
White Wine,False
Worcester Sauce,False
Yoghurt,False
